"Xarxa","Date","status","Long_","Lat","Year"
"orange","12/11/2019","0",2.1427,41.43763,"2019"
"orange","12/11/2019","0",2.14295,41.4378,"2019"
"orange","12/11/2019","0",2.14267,41.43752,"2019"
"orange","12/11/2019","0",2.14285,41.43775,"2019"
"orange","16/01/2019","0",2.1846,41.54634,"2019"
"orange","31/12/2019","0",1.73412,41.59113,"2019"
"orange","31/12/2019","0",1.73416,41.59131,"2019"
"movistar","31/12/2019","0",1.76237,41.93352,"2019"
"orange","31/12/2019","0",1.734,41.59107,"2019"
"orange","31/12/2019","0",1.73423,41.59118,"2019"
"movistar","31/12/2019","0",2.00915,41.57366,"2019"
"vodafone","31/12/2019","0",3.02243,41.79249,"2019"
"orange","31/12/2019","0",1.73414,41.59114,"2019"
"movistar","31/12/2019","0",1.76241,41.93352,"2019"
"orange","31/12/2019","0",0.97506,41.21179,"2019"
"orange","31/12/2019","0",2.32017,41.4987,"2019"
"orange","31/12/2019","0",2.31965,41.49882,"2019"
"movistar","31/12/2019","0",1.76249,41.9335,"2019"
"orange","31/12/2019","0",1.73409,41.59118,"2019"
"orange","31/12/2019","0",1.7341,41.59124,"2019"
"orange","31/12/2019","0",1.73441,41.59107,"2019"
"orange","31/12/2019","0",1.73405,41.59112,"2019"
"movistar","31/12/2019","0",1.76241,41.93352,"2019"
"orange","31/12/2019","0",2.29024,41.62925,"2019"
"orange","31/12/2019","0",2.29008,41.62932,"2019"
"movistar","31/12/2019","0",1.76238,41.93352,"2019"
"vodafone","31/12/2019","0",2.22541,41.41753,"2019"
"vodafone","31/12/2019","0",2.15351,41.43243,"2019"
"vodafone","31/12/2019","0",2.15692,41.42926,"2019"
"movistar","31/12/2019","0",1.7624,41.93352,"2019"
"orange","31/12/2019","0",1.73421,41.59116,"2019"
"orange","31/12/2019","0",1.73396,41.59136,"2019"
"movistar","31/12/2019","0",1.86294,42.25239,"2019"
"vodafone","31/12/2019","0",2.95924,42.26322,"2019"
"orange","31/12/2019","0",2.29006,41.6296,"2019"
"movistar","31/12/2019","0",1.76249,41.9335,"2019"
"vodafone","31/12/2019","0",2.15884,41.42281,"2019"
"movistar","31/12/2019","0",1.86546,42.2511,"2019"
"movistar","31/12/2019","0",1.86532,42.25112,"2019"
"orange","31/12/2019","0",1.73414,41.5912,"2019"
"orange","31/12/2019","0",1.73414,41.5912,"2019"
"orange","31/12/2019","0",1.73414,41.5912,"2019"
"movistar","30/12/2019","0",2.00914,41.57365,"2019"
"movistar","30/12/2019","0",1.10152,41.14536,"2019"
"movistar","30/12/2019","0",1.72887,41.22279,"2019"
"vodafone","30/12/2019","0",2.1857,41.40948,"2019"
"movistar","30/12/2019","0",1.10158,41.14543,"2019"
"yoigo","30/12/2019","0",0.62921,41.61278,"2019"
"movistar","30/12/2019","0",2.00919,41.57373,"2019"
"yoigo","30/12/2019","0",2.85974,42.22342,"2019"
"orange","30/12/2019","0",2.28997,41.62936,"2019"
"orange","30/12/2019","0",2.28982,41.62908,"2019"
"orange","30/12/2019","0",2.28999,41.62942,"2019"
"orange","30/12/2019","0",2.15807,41.4145,"2019"
"movistar","30/12/2019","0",1.10157,41.14544,"2019"
"orange","30/12/2019","0",2.28977,41.6291,"2019"
"orange","30/12/2019","0",2.29008,41.62917,"2019"
"movistar","30/12/2019","0",1.10154,41.14543,"2019"
"orange","30/12/2019","0",2.28995,41.6293,"2019"
"yoigo","30/12/2019","0",3.10457,42.25497,"2019"
"yoigo","30/12/2019","0",3.10457,42.25497,"2019"
"orange","30/12/2019","0",2.29004,41.62922,"2019"
"orange","30/12/2019","0",2.29006,41.62963,"2019"
"orange","30/12/2019","0",2.28989,41.62929,"2019"
"orange","30/12/2019","0",2.29036,41.62974,"2019"
"movistar","29/12/2019","0",1.10151,41.14537,"2019"
"movistar","29/12/2019","0",1.10852,41.1596,"2019"
"yoigo","29/12/2019","0",2.85974,42.22367,"2019"
"movistar","29/12/2019","0",2.70412,41.64212,"2019"
"orange","29/12/2019","0",2.01271,41.55482,"2019"
"movistar","29/12/2019","0",2.70354,41.64186,"2019"
"orange","29/12/2019","0",2.01255,41.55499,"2019"
"orange","29/12/2019","0",2.01279,41.55471,"2019"
"movistar","29/12/2019","0",2.00914,41.57382,"2019"
